Date,rate_AAPL,rate_VOO,Sector,rate_ADBE,rate_ADSK,rate_AMD,rate_FSLR,rate_IONQ,rate_MSFT,rate_NVDA,rate_PLTR,rate_SQ,rate_U
2022-04-25,-5.48,-7.37,Technology,-21.7,-26.35,-31.45,-12.9,-36.68,-10.08,-26.81,-22.1,-20.87,-34.88
2022-04-26,-8.9,-9.95,Technology,-24.42,-28.46,-35.59,-14.11,-43.86,-13.36,-30.89,-28.31,-25.79,-39.08
2022-04-27,-9.03,-9.73,Technology,-24.65,-30.39,-35.78,-13.27,-43.17,-9.3,-32.26,-31.83,-26.17,-43.65
2022-04-28,-5.06,-7.52,Technology,-22.33,-24.58,-32.24,-13.13,-42.41,-7.3,-27.25,-29.38,-22.82,-42.61
2022-04-29,-8.42,-10.83,Technology,-25.01,-27.06,-35.32,-12.2,-45.44,-11.08,-31.77,-32.83,-26.45,-45.47
2022-05-02,-8.01,-9.99,Technology,-22.27,-24.96,-31.17,-11.15,-44.21,-8.66,-27.36,-29.82,-21.32,-42.4
2022-05-03,-7.16,-9.62,Technology,-22.22,-24.84,-30.21,-9.41,-49.11,-9.49,-27.11,-31.02,-23.84,-43.04
2022-05-04,-3.49,-6.99,Technology,-19.35,-20.89,-24.02,-5.17,-46.69,-6.95,-24.44,-28.31,-20.66,-41.79
2022-05-05,-8.68,-10.13,Technology,-23.5,-22.9,-28.16,-7.87,-55.45,-10.87,-29.86,-33.74,-28.69,-47.8
2022-05-06,-8.39,-10.67,Technology,-25.23,-24.63,-27.06,-12.92,-57.59,-11.68,-30.48,-37.78,-28.23,-51.6
2022-05-09,-11.31,-13.43,Technology,-27.8,-27.42,-33.77,-17.51,-63.39,-14.83,-36.75,-50.53,-37.04,-57.26
2022-05-10,-9.91,-13.22,Technology,-24.81,-27.39,-31.98,-18.31,-64.8,-13.29,-34.37,-51.63,-36.65,-59.13
2022-05-11,-14.49,-14.58,Technology,-27.35,-29.56,-32.59,-25.3,-68.6,-16.1,-37.93,-55.39,-46.25,-73.9
2022-05-12,-16.74,-14.64,Technology,-25.65,-27.91,-33.24,-25.68,-65.64,-17.73,-39.6,-51.31,-42.94,-69.93
2022-05-13,-14.14,-12.68,Technology,-22.5,-23.35,-27.16,-22.28,-62.54,-15.92,-33.97,-44.84,-36.82,-66.61
2022-05-16,-15.04,-12.99,Technology,-22.98,-25.05,-27.83,-24.05,-64.94,-15.8,-35.59,-46.78,-40.07,-69.06
2022-05-17,-12.91,-11.29,Technology,-21.72,-23.88,-21.59,-20.89,-58.88,-14.11,-32.21,-44.69,-36.3,-67.19
2022-05-18,-17.75,-14.71,Technology,-23.9,-26.81,-26.28,-20.94,-60.73,-18.16,-36.8,-46.98,-38.32,-67.96
2022-05-19,-19.75,-15.27,Technology,-24.55,-24.62,-25.98,-19.61,-58.02,-18.46,-36.11,-45.02,-34.56,-64.43
2022-05-20,-19.61,-15.25,Technology,-23.68,-25.5,-28.39,-20.45,-59.45,-18.64,-37.7,-46.52,-37.3,-64.71
2022-05-23,-16.44,-13.68,Technology,-22.26,-28.52,-27.2,-20.1,-58.52,-16.07,-36.95,-46.98,-37.33,-64.95
2022-05-24,-18.03,-14.29,Technology,-23.81,-30.04,-30.17,-21.87,-61.17,-16.4,-39.71,-50.0,-42.93,-69.85
2022-05-25,-17.93,-13.59,Technology,-23.05,-27.37,-29.04,-20.12,-58.81,-15.48,-36.66,-47.31,-41.39,-68.02
2022-05-26,-16.05,-11.92,Technology,-21.91,-25.42,-24.39,-17.67,-58.52,-14.4,-33.41,-44.67,-37.32,-67.24
2022-05-27,-12.66,-9.77,Technology,-18.27,-17.86,-21.72,-12.94,-57.3,-12.07,-29.84,-41.45,-32.03,-64.71
2022-05-31,-13.12,-10.26,Technology,-20.45,-19.25,-22.03,-14.62,-58.59,-12.51,-30.36,-42.57,-34.27,-65.85
2022-06-01,-12.83,-10.69,Technology,-19.58,-18.85,-21.89,-13.91,-60.17,-11.99,-30.79,-42.79,-37.37,-65.25
2022-06-02,-11.4,-9.06,Technology,-15.32,-16.31,-16.33,-9.9,-56.47,-11.31,-26.09,-37.27,-33.27,-60.37
2022-06-03,-14.76,-10.5,Technology,-17.48,-18.5,-18.07,-9.07,-58.46,-12.75,-29.34,-39.67,-36.54,-62.46
2022-06-06,-14.32,-10.26,Technology,-17.54,-18.41,-18.57,-12.61,-57.64,-13.16,-29.09,-39.4,-36.32,-61.53
2022-06-07,-12.83,-9.4,Technology,-16.8,-18.96,-18.85,-12.6,-58.54,-11.97,-28.57,-38.39,-35.4,-60.19
2022-06-08,-13.26,-10.37,Technology,-17.66,-20.29,-21.44,-12.98,-56.15,-12.63,-29.61,-38.05,-35.28,-58.88
2022-06-09,-16.35,-12.42,Technology,-18.11,-23.64,-23.81,-15.23,-60.04,-14.41,-31.87,-41.42,-41.49,-62.88
2022-06-10,-19.55,-14.93,Technology,-24.23,-26.72,-26.86,-17.44,-63.1,-18.14,-35.91,-44.24,-45.07,-66.79
2022-06-13,-22.6,-18.12,Technology,-28.4,-32.13,-32.85,-23.33,-66.02,-21.54,-40.9,-48.41,-51.98,-69.05
2022-06-14,-22.09,-18.32,Technology,-28.55,-32.71,-32.85,-24.76,-65.34,-20.82,-40.19,-47.2,-53.85,-69.58
2022-06-15,-20.54,-17.18,Technology,-27.41,-30.73,-31.09,-22.24,-62.42,-18.5,-37.59,-45.18,-51.87,-67.43
2022-06-16,-23.66,-19.83,Technology,-29.63,-35.52,-36.64,-24.69,-64.22,-20.67,-41.08,-48.21,-55.97,-70.39
2022-06-17,-22.78,-19.62,Technology,-30.44,-34.18,-37.0,-19.0,-62.12,-19.81,-40.03,-44.37,-55.21,-68.04
2022-06-21,-20.28,-17.71,Technology,-30.02,-34.53,-35.3,-17.2,-61.37,-17.86,-37.44,-41.2,-53.68,-66.29
2022-06-22,-20.58,-17.88,Technology,-29.58,-33.65,-35.33,-17.92,-62.49,-18.06,-38.22,-39.18,-53.59,-64.75
2022-06-23,-18.89,-17.04,Technology,-27.46,-28.14,-36.34,-15.51,-61.52,-16.23,-38.73,-36.15,-48.56,-60.02
2022-06-24,-16.92,-14.53,Technology,-25.38,-24.64,-32.79,-14.94,-61.59,-13.4,-35.33,-31.23,-45.73,-57.94
2022-06-27,-16.92,-14.84,Technology,-26.63,-27.19,-33.49,-14.27,-63.69,-14.3,-36.3,-35.07,-46.92,-60.12
2022-06-28,-19.37,-16.63,Technology,-29.53,-30.69,-37.61,-17.74,-64.74,-16.99,-39.65,-37.16,-49.83,-63.42
2022-06-29,-18.33,-16.92,Technology,-28.99,-30.68,-39.74,-18.84,-66.47,-15.78,-41.31,-37.7,-51.16,-64.44
2022-06-30,-19.79,-17.56,Technology,-29.45,-32.57,-40.91,-17.28,-67.07,-16.87,-42.75,-38.78,-52.97,-66.85
2022-07-01,-18.0,-16.28,Technology,-28.21,-30.97,-41.89,-16.79,-65.18,-15.56,-43.93,-36.42,-49.74,-64.42
2022-07-05,-16.52,-16.14,Technology,-26.74,-29.83,-40.75,-19.05,-64.01,-14.54,-42.31,-31.18,-47.65,-60.26
2022-07-06,-15.74,-15.85,Technology,-25.56,-29.89,-40.63,-19.14,-63.56,-13.49,-41.68,-32.98,-48.98,-61.2
2022-07-07,-13.74,-14.65,Technology,-24.03,-27.76,-37.57,-13.72,-60.15,-12.79,-38.91,-30.41,-46.16,-58.23
2022-07-08,-13.34,-14.7,Technology,-24.31,-28.7,-37.53,-11.46,-59.99,-13.03,-38.99,-30.48,-47.41,-57.57
2022-07-11,-14.6,-15.64,Technology,-25.31,-29.92,-39.4,-15.36,-63.59,-14.03,-41.62,-34.63,-50.34,-61.17
2022-07-12,-14.02,-16.4,Technology,-26.95,-31.63,-39.86,-16.42,-64.69,-17.48,-41.88,-35.11,-48.94,-62.65
2022-07-13,-14.24,-16.77,Technology,-27.63,-32.17,-38.95,-15.52,-65.0,-17.78,-41.57,-36.54,-49.63,-69.11
2022-07-14,-12.5,-16.99,Technology,-27.44,-32.16,-38.11,-13.23,-65.32,-17.35,-40.77,-39.13,-50.97,-69.4
2022-07-15,-11.51,-15.46,Technology,-26.13,-30.12,-36.14,-20.25,-64.22,-16.51,-39.28,-38.17,-48.2,-68.28
2022-07-18,-13.32,-16.14,Technology,-27.01,-29.72,-35.89,-18.13,-63.75,-17.29,-37.97,-38.24,-47.98,-66.82
2022-07-19,-11.03,-13.93,Technology,-24.62,-26.78,-32.4,-13.7,-62.64,-15.61,-34.55,-36.12,-45.65,-66.47
2022-07-20,-9.84,-13.4,Technology,-22.02,-22.25,-29.62,-10.87,-59.57,-14.74,-31.42,-30.87,-41.33,-61.92
2022-07-21,-8.49,-12.55,Technology,-20.62,-21.19,-28.32,-10.53,-58.47,-13.92,-30.48,-28.27,-41.35,-62.04
2022-07-22,-9.23,-13.32,Technology,-21.95,-22.42,-30.66,-11.35,-61.46,-15.35,-33.29,-32.71,-43.66,-65.7
2022-07-25,-9.89,-13.24,Technology,-23.83,-22.51,-31.1,-9.45,-60.99,-15.84,-34.43,-33.8,-43.95,-66.57
2022-07-26,-10.56,-14.25,Technology,-26.24,-23.54,-32.9,-10.16,-62.73,-18.04,-36.32,-35.72,-47.88,-68.46
2022-07-27,-7.99,-12.07,Technology,-23.68,-19.51,-29.32,-6.28,-59.73,-12.68,-31.48,-31.48,-42.91,-65.0
2022-07-28,-7.71,-10.99,Technology,-21.64,-16.1,-27.87,7.99,-58.23,-10.24,-30.73,-30.73,-41.41,-64.68
2022-07-29,-5.15,-9.72,Technology,-20.39,-14.47,-25.67,20.97,-57.36,-8.86,-30.05,-29.23,-40.33,-64.85
2022-08-01,-5.5,-9.72,Technology,-19.67,-13.4,-23.23,20.79,-57.01,-9.47,-28.21,-27.66,-37.94,-61.73
2022-08-02,-6.12,-10.15,Technology,-19.83,-13.97,-21.76,20.93,-55.44,-10.23,-27.97,-25.36,-37.19,-60.28
2022-08-03,-3.6,-9.12,Technology,-17.74,-13.31,-22.47,19.85,-53.1,-8.42,-26.91,-23.93,-31.93,-57.33
2022-08-04,-3.73,-9.18,Technology,-16.87,-12.29,-19.05,20.6,-51.3,-8.14,-25.98,-23.31,-30.98,-57.13
2022-08-05,-3.92,-9.31,Technology,-16.46,-12.36,-19.99,22.22,-49.97,-8.31,-26.63,-22.65,-32.13,-55.18
2022-08-08,-4.12,-9.37,Technology,-16.33,-12.65,-21.3,25.08,-51.72,-8.93,-30.08,-30.98,-33.44,-53.95
2022-08-09,-4.1,-9.62,Technology,-17.34,-13.34,-23.75,25.76,-53.95,-8.49,-31.98,-33.71,-35.76,-53.58
2022-08-10,-2.41,-8.33,Technology,-15.8,-11.14,-21.85,27.38,-50.63,-6.97,-29.27,-32.09,-31.66,-50.24
2022-08-11,-2.7,-8.33,Technology,-16.26,-10.88,-22.36,27.4,-52.04,-7.44,-29.68,-32.9,-33.18,-51.08
2022-08-12,-1.29,-7.26,Technology,-14.86,-9.34,-20.89,28.41,-51.28,-6.36,-27.62,-30.55,-32.13,-48.38
2022-08-15,-0.86,-6.98,Technology,-14.16,-9.06,-20.8,28.48,-50.47,-6.02,-26.76,-30.55,-32.79,-51.05
2022-08-16,-0.93,-6.87,Technology,-14.6,-9.16,-21.22,28.29,-39.86,-6.18,-27.15,-31.35,-33.22,-51.45
2022-08-17,-0.34,-7.3,Technology,-15.83,-10.58,-22.24,28.18,-42.59,-6.48,-28.56,-32.81,-36.11,-52.39
2022-08-18,-0.5,-7.11,Technology,-15.68,-10.41,-21.1,28.42,-43.8,-6.72,-27.43,-34.13,-36.42,-52.98
2022-08-19,-1.5,-7.96,Technology,-17.45,-12.05,-23.46,28.04,-49.1,-7.58,-29.82,-37.13,-39.21,-55.1
2022-08-22,-3.02,-9.24,Technology,-19.18,-13.67,-25.1,27.89,-50.15,-9.37,-31.94,-39.2,-39.91,-56.61
2022-08-23,-3.15,-9.38,Technology,-19.3,-14.4,-25.28,27.85,-50.1,-9.65,-31.55,-39.5,-41.03,-56.78
2022-08-24,-3.04,-9.2,Technology,-19.91,-14.19,-25.16,30.25,-49.32,-9.79,-31.44,-39.06,-40.12,-56.25
2022-08-25,-2.08,-8.33,Technology,-20.13,-12.68,-22.78,32.18,-47.97,-9.13,-29.61,-37.47,-39.03,-54.28
2022-08-26,-4.53,-10.4,Technology,-23.07,-15.95,-25.98,32.22,-51.35,-11.46,-33.99,-39.85,-42.14,-57.0
2022-08-29,-5.39,-10.79,Technology,-23.81,-16.49,-27.42,32.18,-51.35,-12.08,-35.2,-40.49,-42.75,-57.09
2022-08-30,-6.35,-11.42,Technology,-23.84,-17.27,-28.26,32.61,-52.97,-12.57,-36.1,-40.59,-42.02,-58.28
2022-08-31,-7.0,-11.87,Technology,-24.05,-17.56,-29.37,36.24,-52.65,-12.89,-37.12,-40.94,-42.1,-58.19
2022-09-01,-6.54,-11.4,Technology,-23.81,-17.05,-29.96,35.5,-52.07,-12.79,-39.22,-41.02,-41.11,-57.6
2022-09-02,-7.35,-11.98,Technology,-24.12,-17.91,-31.06,34.54,-52.52,-13.71,-39.99,-41.46,-42.42,-57.9
2022-09-06,-7.84,-12.17,Technology,-24.1,-18.04,-31.86,35.34,-52.88,-14.3,-40.47,-42.05,-42.98,-59.22
2022-09-07,-7.14,-10.9,Technology,-22.21,-15.35,-31.24,41.58,-55.1,-12.99,-39.59,-41.35,-41.2,-58.85
2022-09-08,-7.95,-10.38,Technology,-21.49,-14.0,-28.78,43.95,-55.56,-12.86,-38.5,-40.34,-39.02,-59.19
2022-09-09,-6.39,-9.13,Technology,-19.46,-13.31,-26.71,42.47,-54.42,-11.07,-36.92,-38.47,-36.11,-56.79
2022-09-12,-3.13,-8.23,Technology,-19.17,-12.02,-27.34,43.31,-50.39,-10.4,-36.45,-36.89,-35.36,-55.83
2022-09-13,-8.54,-12.01,Technology,-24.55,-14.67,-33.55,43.28,-53.03,-15.07,-42.19,-40.88,-40.01,-61.45
2022-09-14,-7.71,-11.7,Technology,-23.95,-14.6,-33.21,42.32,-51.43,-15.0,-42.2,-39.75,-40.84,-60.31
2022-09-15,-9.37,-12.63,Technology,-35.96,-17.4,-33.85,38.74,-51.67,-17.18,-43.03,-36.89,-40.34,-60.08
2022-09-16,-10.31,-13.28,Technology,-37.82,-19.86,-33.97,42.37,-53.82,-17.38,-41.91,-38.62,-43.85,-62.56
2022-09-19,-8.18,-12.65,Technology,-38.48,-19.12,-33.76,43.55,-54.62,-17.45,-41.14,-38.02,-44.82,-61.25
2022-09-20,-6.78,-13.61,Technology,-39.47,-19.88,-35.03,40.35,-55.61,-18.13,-42.02,-39.87,-46.7,-62.94
2022-09-21,-8.62,-15.08,Technology,-40.42,-20.9,-35.68,42.29,-56.18,-19.27,-41.66,-39.33,-48.4,-63.25
2022-09-22,-9.18,-15.78,Technology,-40.27,-23.0,-39.84,39.03,-58.07,-18.61,-44.66,-41.8,-51.35,-64.86
2022-09-23,-10.51,-17.14,Technology,-40.77,-24.03,-41.13,37.39,-59.71,-19.6,-44.85,-41.57,-51.07,-64.93
2022-09-26,-10.32,-17.92,Technology,-42.28,-24.26,-42.52,35.98,-59.54,-19.75,-46.08,-40.57,-52.86,-65.59
2022-09-27,-9.74,-18.14,Technology,-42.16,-22.66,-41.78,39.9,-59.13,-20.1,-45.28,-39.79,-52.06,-65.4
2022-09-28,-10.86,-16.92,Technology,-41.38,-21.45,-40.77,43.62,-57.21,-18.57,-43.88,-37.37,-48.65,-63.7
2022-09-29,-15.15,-18.62,Technology,-42.02,-22.06,-44.36,38.58,-59.63,-19.74,-46.12,-36.28,-51.36,-66.46
2022-09-30,-17.65,-19.84,Technology,-42.64,-23.13,-45.02,39.87,-57.21,-21.25,-46.47,-35.89,-52.13,-66.36
2022-10-03,-14.79,-17.32,Technology,-39.59,-20.33,-41.62,42.93,-54.24,-18.21,-43.73,-34.15,-50.17,-62.6
2022-10-04,-12.67,-14.89,Technology,-37.61,-17.31,-40.09,48.39,-49.03,-15.55,-40.87,-32.44,-44.46,-60.09
2022-10-05,-12.49,-15.03,Technology,-37.11,-15.49,-40.05,41.21,-50.46,-15.44,-40.68,-32.75,-44.69,-60.63
2022-10-06,-13.06,-15.9,Technology,-36.9,-14.95,-40.13,39.06,-51.05,-16.23,-41.03,-32.36,-44.88,-60.59
2022-10-07,-16.17,-18.18,Technology,-38.87,-19.42,-48.17,36.82,-54.07,-20.33,-45.63,-34.86,-48.77,-63.83
2022-10-10,-15.97,-18.77,Technology,-39.49,-20.91,-48.71,38.21,-55.84,-21.96,-47.4,-35.56,-49.45,-65.03
2022-10-11,-16.82,-19.3,Technology,-39.68,-20.91,-48.87,38.46,-57.38,-23.24,-47.78,-35.71,-52.22,-65.6
